tanggal_rilis,jam_rilis,judul_berita,link
2014-08-01T00:00:00Z,1899-12-31T11:14:10Z,Kondisi Pantai Publik Marunda Memprihatinkan,https://beritajakarta.com/read/3901/Kondisi_Pantai_Publik_Marunda_Memprihatinkan
2014-08-01T00:00:00Z,1899-12-31T01:05:16Z,Puluhan Lapak PKL di Jl Bendungan Melayu Dibongkar,https://beritajakarta.com/read/3909/Puluhan_Lapak_PKL_di_Jl_Bendungan_Melayu_Dibongkar
2014-08-01T00:00:00Z,1899-12-31T02:14:40Z,Arus Balik di Terminal Kampung Rambutan Ramai,https://beritajakarta.com/read/3911/Arus_Balik_di_Terminal_Kampung_Rambutan_Ramai
2014-08-01T00:00:00Z,1899-12-31T03:10:15Z,"Lebaran, Volume Sampah di Jakbar Menurun","https://beritajakarta.com/read/3910/Lebaran,_Volume_Sampah_di_Jakbar_Menurun_"
2014-08-01T00:00:00Z,1899-12-31T04:20:37Z,"Penjualan Solar Bersubsidi Distop, SPBU di Jakpus Sepi","https://beritajakarta.com/read/3913/Penjualan_Solar_Bersubsidi_Distop,_SPBU_di_Jakpus_Sepi_"
2014-08-01T00:00:00Z,1899-12-31T05:13:08Z,Hutan Kota Srengseng Dibanjiri Pengunjung,https://beritajakarta.com/read/3914/Hutan_Kota_Srengseng_Dibanjiri_Pengunjung
2014-08-01T00:00:00Z,1899-12-31T05:50:31Z,"Pasca Lebaran, Senen Bersih dari PKL","https://beritajakarta.com/read/3908/Pasca_Lebaran,_Senen_Bersih_dari_PKL"
2014-08-01T00:00:00Z,1899-12-31T06:10:35Z,"Sengketa Pilpres, KPU Jaktim Kumpulkan Bukti","https://beritajakarta.com/read/3915/Sengketa_Pilpres,_KPU_Jaktim_Kumpulkan_Bukti"
2014-08-01T00:00:00Z,1899-12-31T06:40:17Z,16 PMKS Terjaring Razia di Jakpus,https://beritajakarta.com/read/3916/16_PMKS_Terjaring_Razia_di_Jakpus
2014-08-01T00:00:00Z,1899-12-31T07:08:01Z,Puluhan Lapak PKL di Pasar Jiung Dibongkar,https://beritajakarta.com/read/3918/Puluhan_Lapak_PKL_di_Pasar_Jiung_Dibongkar
