tanggal_rilis,jam_rilis,judul_berita,link
2014-04-01T00:00:00Z,1899-12-31T11:21:28Z,Pemilih Luar Jakarta Tetap Bisa Nyoblos,https://beritajakarta.com/read/1124/Pemilih_Luar_Jakarta_Tetap_Bisa_Nyoblos
2014-04-01T00:00:00Z,1899-12-31T12:32:12Z,550 Petugas Jaga Taman di Jakarta 24 Jam,https://beritajakarta.com/read/1068/550_Petugas_Jaga_Taman_di_Jakarta_24_Jam
2014-04-01T00:00:00Z,1899-12-31T01:06:52Z,Banyak Pagar Besi Taman di Jakbar Raib,https://beritajakarta.com/read/1125/Banyak_Pagar_Besi_Taman_di_Jakbar_Raib
2014-04-01T00:00:00Z,1899-12-31T01:30:13Z,Jokowi Dikawal Ketat 12 Pengawal,https://beritajakarta.com/read/1127/Jokowi_Dikawal_Ketat_12_Pengawal
2014-04-01T00:00:00Z,1899-12-31T02:05:20Z,9 Motor dan Puluhan Lapak PKL Ditertibkan,https://beritajakarta.com/read/1067/9_Motor_dan_Puluhan_Lapak_PKL_Ditertibkan
2014-04-01T00:00:00Z,1899-12-31T02:26:00Z,Basuki Akui Temuan ICW Soal Penyelewengan Dana KJP,https://beritajakarta.com/read/1129/Basuki_Akui_Temuan_ICW_Soal_Penyelewengan_Dana_KJP
2014-04-01T00:00:00Z,1899-12-31T03:11:38Z,DKI Tetap Akan Beli Bus Baru,https://beritajakarta.com/read/1069/DKI_Tetap_Akan_Beli_Bus_Baru
2014-04-01T00:00:00Z,1899-12-31T03:35:24Z,Disdik Siapkan 4 Langkah Perbaiki Program KJP,https://beritajakarta.com/read/1104/Disdik_Siapkan_4_Langkah_Perbaiki_Program_KJP
2014-04-01T00:00:00Z,1899-12-31T03:50:12Z,Jokowi Kukuhkan 17 Anggota DTKJ DKI,https://beritajakarta.com/read/1070/Jokowi_Kukuhkan_17_Anggota_DTKJ_DKI
2014-04-01T00:00:00Z,1899-12-31T04:05:11Z,Ahok Bingung Hadapi Remaja Perusak Fasum,https://beritajakarta.com/read/1105/Ahok_Bingung_Hadapi_Remaja_Perusak_Fasum
2014-04-01T00:00:00Z,1899-12-31T04:40:36Z,PNS Papua Ditemukan Tewas di Hotel Mangga Besar,https://beritajakarta.com/read/1131/PNS_Papua_Ditemukan_Tewas_di_Hotel_Mangga_Besar
2014-04-01T00:00:00Z,1899-12-31T05:00:13Z,Honor Petugas Kebersihan Sudah Dilunasi,https://beritajakarta.com/read/1106/Honor_Petugas_Kebersihan_Sudah_Dilunasi
2014-04-01T00:00:00Z,1899-12-31T05:15:22Z,Anggota DTKJ Diminta Tak Terlibat Bisnis Angkot,https://beritajakarta.com/read/1107/Anggota_DTKJ_Diminta_Tak_Terlibat_Bisnis_Angkot
2014-04-01T00:00:00Z,1899-12-31T05:45:07Z,Jl Yos Sudarso Marak Atribut Parpol,https://beritajakarta.com/read/1126/Jl_Yos_Sudarso_Marak_Atribut_Parpol
2014-04-01T00:00:00Z,1899-12-31T06:35:52Z,"Halau Pemotor, JPO Akan Dipasangi Barikade","https://beritajakarta.com/read/1128/Halau_Pemotor,_JPO_Akan_Dipasangi_Barikade"
2014-04-01T00:00:00Z,1899-12-31T06:50:22Z,"Januari-Maret, 32 Kebakaran di Jakut","https://beritajakarta.com/read/1130/Januari-Maret,_32_Kebakaran_di_Jakut"
2014-04-01T00:00:00Z,1899-12-31T07:40:40Z,Jokowi Dibelikan Tiket KA Balaikota - Istana Negara,https://beritajakarta.com/read/1214/Jokowi_Dibelikan_Tiket_KA_Balaikota_-_Istana_Negara
2014-04-01T00:00:00Z,1899-12-31T07:45:45Z,Jakut Bakal Terapkan Zonasi Pool Kontainer,https://beritajakarta.com/read/1090/Jakut_Bakal_Terapkan_Zonasi_Pool_Kontainer
2014-04-01T00:00:00Z,1899-12-31T08:30:25Z,18 Truk Sudin Pertamanan Jaktim Mangkrak,https://beritajakarta.com/read/1213/18_Truk_Sudin_Pertamanan_Jaktim_Mangkrak
2014-04-01T00:00:00Z,1899-12-31T08:41:01Z,DKI Minta Masukan BPKP Soal Bus Berkarat,https://beritajakarta.com/read/1081/DKI_Minta_Masukan_BPKP_Soal_Bus_Berkarat
2014-04-01T00:00:00Z,1899-12-31T09:05:13Z,Sampah di Kelurahan Tomang Dibiarkan Menumpuk,https://beritajakarta.com/read/1132/Sampah_di_Kelurahan_Tomang_Dibiarkan_Menumpuk
2014-04-01T00:00:00Z,1899-12-31T09:20:09Z,DKI Godok Revitalisasi Angkot di Ibu Kota,https://beritajakarta.com/read/1133/DKI_Godok_Revitalisasi_Angkot_di_Ibu_Kota
2014-04-02T00:00:00Z,1899-12-31T09:58:11Z,123 Rumah di Kampung Deret Petogogan Siap Dihuni,https://beritajakarta.com/read/1082/123_Rumah_di_Kampung_Deret_Petogogan_Siap_Dihuni
2014-04-02T00:00:00Z,1899-12-31T11:20:09Z,"Truk Trailer Tabrak Pohon, Jl Raya Bekasi Macet","https://beritajakarta.com/read/1134/Truk_Trailer_Tabrak_Pohon,_Jl_Raya_Bekasi_Macet"
2014-04-02T00:00:00Z,1899-12-31T12:33:48Z,Bawaslu DKI Temukan 61 Pelanggaran Kampanye,https://beritajakarta.com/read/1215/Bawaslu_DKI_Temukan_61_Pelanggaran_Kampanye_
2014-04-02T00:00:00Z,1899-12-31T01:02:20Z,Jokowi Resmikan Pembangunan RSUD Pasar Minggu,https://beritajakarta.com/read/1083/Jokowi_Resmikan_Pembangunan_RSUD_Pasar_Minggu
2014-04-02T00:00:00Z,1899-12-31T01:39:04Z,Warga Kayu Putih Demo Tolak Pembangunan Apartemen,https://beritajakarta.com/read/1216/Warga_Kayu_Putih_Demo_Tolak_Pembangunan_Apartemen
2014-04-02T00:00:00Z,1899-12-31T02:13:05Z,Rumah Eks Penjaga Pompa PAM Jaya Dibongkar,https://beritajakarta.com/read/1091/Rumah_Eks_Penjaga_Pompa_PAM_Jaya_Dibongkar
2014-04-02T00:00:00Z,1899-12-31T02:40:20Z,Belanda Tertarik Bangun Rusunawa di Muara Baru,https://beritajakarta.com/read/1092/Belanda_Tertarik_Bangun_Rusunawa_di_Muara_Baru
2014-04-02T00:00:00Z,1899-12-31T03:14:32Z,Basuki: Punya Tato dan Badan Gede Bisa Kaya,https://beritajakarta.com/read/1135/Basuki:_Punya_Tato_dan_Badan_Gede_Bisa_Kaya
2014-04-02T00:00:00Z,1899-12-31T03:46:20Z,RSUD Pasar Minggu Dilengkapi Fasilitas Radioterapi,https://beritajakarta.com/read/1094/RSUD_Pasar_Minggu_Dilengkapi_Fasilitas_Radioterapi
2014-04-02T00:00:00Z,1899-12-31T04:15:15Z,Ahok Minta Dinkes Buka Pelayanan di Pasar,https://beritajakarta.com/read/1096/Ahok_Minta_Dinkes_Buka_Pelayanan_di_Pasar___
2014-04-02T00:00:00Z,1899-12-31T04:48:58Z,Jokowi Tindaklanjuti Temuan ICW,https://beritajakarta.com/read/1224/Jokowi_Tindaklanjuti_Temuan_ICW
2014-04-02T00:00:00Z,1899-12-31T05:16:17Z,Perusahaan Jerman Bersihkan Tugu Monas,https://beritajakarta.com/read/1218/Perusahaan_Jerman_Bersihkan_Tugu_Monas
2014-04-02T00:00:00Z,1899-12-31T05:48:15Z,2.000 TPS di DKI Masuk Kategori Rawan,https://beritajakarta.com/read/1108/2.000_TPS_di_DKI_Masuk_Kategori_Rawan
2014-04-02T00:00:00Z,1899-12-31T06:11:29Z,"Truk Oleng, Gulungan Kertas Berserakan di Tol Cawang","https://beritajakarta.com/read/1237/Truk_Oleng,_Gulungan_Kertas_Berserakan_di_Tol_Cawang"
2014-04-02T00:00:00Z,1899-12-31T07:05:00Z,Jl Enggano Marak Pakir Liar Kontainer,https://beritajakarta.com/read/1225/Jl_Enggano_Marak_Pakir_Liar_Kontainer
2014-04-02T00:00:00Z,1899-12-31T07:25:44Z,"Sering Banjir, Warga Minta Pelebaran Saluran Air","https://beritajakarta.com/read/1093/Sering_Banjir,_Warga_Minta_Pelebaran_Saluran_Air_"
2014-04-02T00:00:00Z,1899-12-31T08:18:50Z,29 Taman di Jakpus Akan Diperbaiki,https://beritajakarta.com/read/1217/29_Taman_di_Jakpus_Akan_Diperbaiki
2014-04-02T00:00:00Z,1899-12-31T08:40:21Z,RSUD Koja Kewalahan Tangani Pasien JKN,https://beritajakarta.com/read/1109/RSUD_Koja_Kewalahan_Tangani_Pasien_JKN
2014-04-02T00:00:00Z,1899-12-31T09:00:45Z,Korban Banjir Kamal Minta Nikah Massal,https://beritajakarta.com/read/1219/Korban_Banjir_Kamal_Minta_Nikah_Massal
2014-04-02T00:00:00Z,1899-12-31T09:42:40Z,Armada Pemadam di Tebet Belum Memadai,https://beritajakarta.com/read/1095/Armada_Pemadam_di_Tebet_Belum_Memadai
2014-04-03T00:00:00Z,1899-12-31T09:27:55Z,DKI Targetkan 128 Kali Bersih pada 2015,https://beritajakarta.com/read/1226/DKI_Targetkan_128_Kali_Bersih_pada_2015
2014-04-03T00:00:00Z,1899-12-31T10:08:18Z,Jembatan Blok G Tanah Abang Nyaris Roboh,https://beritajakarta.com/read/1221/Jembatan_Blok_G_Tanah_Abang_Nyaris_Roboh
2014-04-03T00:00:00Z,1899-12-31T11:02:15Z,Petugas Sudinhub Jaktim Jadi Korban Tabrak Lari,https://beritajakarta.com/read/1227/Petugas_Sudinhub_Jaktim_Jadi_Korban_Tabrak_Lari
2014-04-03T00:00:00Z,1899-12-31T11:31:48Z,Rusun Pinus Elok Banyak yang Bocor,https://beritajakarta.com/read/1220/Rusun_Pinus_Elok_Banyak_yang_Bocor
2014-04-03T00:00:00Z,1899-12-31T12:45:33Z,1.578 Kendaraan Terjaring Razia Parkir Liar,https://beritajakarta.com/read/1222/1.578_Kendaraan_Terjaring_Razia_Parkir_Liar
2014-04-03T00:00:00Z,1899-12-31T12:55:48Z,Jokowi Resmikan Pembangunan Waduk di Cilangkap,https://beritajakarta.com/read/1242/Jokowi_Resmikan_Pembangunan_Waduk_di_Cilangkap
2014-04-03T00:00:00Z,1899-12-31T01:15:04Z,119.879 Siswa SMA/SMK Siap Hadapi UN,https://beritajakarta.com/read/1223/119.879_Siswa_SMA/SMK_Siap_Hadapi_UN
2014-04-03T00:00:00Z,1899-12-31T01:45:44Z,1.000 Pemilih Luar Daerah Bakal Nyoblos di Pasar Minggu,https://beritajakarta.com/read/1244/1.000_Pemilih_Luar_Daerah_Bakal_Nyoblos_di_Pasar_Minggu
2014-04-03T00:00:00Z,1899-12-31T02:11:56Z,6 Truk Kontainer di Jakut Dikandangi,https://beritajakarta.com/read/1231/6_Truk_Kontainer_di_Jakut_Dikandangi
2014-04-03T00:00:00Z,1899-12-31T02:32:53Z,Basuki Akan Selidiki Kisruh Apartemen Residence Pasadena,https://beritajakarta.com/read/1229/Basuki_Akan_Selidiki_Kisruh_Apartemen_Residence_Pasadena
2014-04-03T00:00:00Z,1899-12-31T03:05:14Z,DKI Akan Lebarkan Jalan Depan Mabes TNI,https://beritajakarta.com/read/1230/DKI_Akan_Lebarkan_Jalan_Depan_Mabes_TNI
2014-04-03T00:00:00Z,1899-12-31T03:20:39Z,TPU Tegal Alur Kembali Dipenuhi Gubuk Liar,https://beritajakarta.com/read/1228/TPU_Tegal_Alur_Kembali_Dipenuhi_Gubuk_Liar
2014-04-03T00:00:00Z,1899-12-31T03:50:49Z,Masyarakat Diajak Coblos Caleg Berkualitas,https://beritajakarta.com/read/1233/Masyarakat_Diajak_Coblos_Caleg_Berkualitas
2014-04-03T00:00:00Z,1899-12-31T04:10:32Z,"Parkir Sembarangan, 25 Mobil dan 10 Motor di Jaksel Ditilang","https://beritajakarta.com/read/1235/Parkir_Sembarangan,_25_Mobil_dan_10_Motor_di_Jaksel_Ditilang"
2014-04-03T00:00:00Z,1899-12-31T04:50:15Z,"Temui Ahok, Jokowi Bahas Waduk dan Sampah","https://beritajakarta.com/read/1236/Temui_Ahok,_Jokowi_Bahas_Waduk_dan_Sampah"
2014-04-03T00:00:00Z,1899-12-31T05:30:00Z,Polisi Periksa Empat Pekerja Jembatan Blok G,https://beritajakarta.com/read/1243/Polisi_Periksa_Empat_Pekerja_Jembatan_Blok_G
2014-04-03T00:00:00Z,1899-12-31T05:56:51Z,Perjanjian Kerjasama Monorel Terkendala Masalah Properti,https://beritajakarta.com/read/1234/Perjanjian_Kerjasama_Monorel_Terkendala_Masalah_Properti
2014-04-03T00:00:00Z,1899-12-31T06:12:39Z,"Urus Akte, Warga Tomang Ditipu Calo","https://beritajakarta.com/read/1238/Urus_Akte,_Warga_Tomang_Ditipu_Calo"
2014-04-03T00:00:00Z,1899-12-31T07:09:37Z,Pemkot Jakbar Akan Pasang 2.548 Lampu PJU,https://beritajakarta.com/read/1232/Pemkot_Jakbar_Akan_Pasang_2.548_Lampu_PJU
2014-04-03T00:00:00Z,1899-12-31T07:38:59Z,"Jadi Tersangka, Penabrak Lari Diburu Polisi","https://beritajakarta.com/read/1239/Jadi_Tersangka,_Penabrak_Lari_Diburu_Polisi"
2014-04-03T00:00:00Z,1899-12-31T08:05:33Z,1.770 Rumah di Jakut Akan Diperbaiki,https://beritajakarta.com/read/1245/1.770_Rumah_di_Jakut_Akan_Diperbaiki
2014-04-03T00:00:00Z,1899-12-31T08:15:48Z,Genangan di Jl Peternakan Dalam III Tak Kunjung Surut,https://beritajakarta.com/read/1246/Genangan_di_Jl_Peternakan_Dalam_III_Tak_Kunjung_Surut
