tanggal_rilis,jam_rilis,judul_berita,link
2014-12-01T00:00:00Z,1899-12-31T08:54:56Z,DPRD Minta Kaji Ulang Harga Tiket Masuk Ancol,https://beritajakarta.com/read/6613/DPRD_Minta_Kaji_Ulang_Harga_Tiket_Masuk_Ancol
2014-12-01T00:00:00Z,1899-12-31T10:43:02Z,Mayat Bayi Ditemukan dalam Kantong Plastik,https://beritajakarta.com/read/6614/Mayat_Bayi_Ditemukan_dalam_Kantong_Plastik
2014-12-01T00:00:00Z,1899-12-31T11:21:54Z,Jokowi Minta Korpri Tinggalkan Mental Priyayi,https://beritajakarta.com/read/6617/Jokowi_Minta_Korpri_Tinggalkan_Mental_Priyayi
2014-12-01T00:00:00Z,1899-12-31T12:22:22Z,Satpol PP Bongkar Puluhan Bangunan di Gambir,https://beritajakarta.com/read/6615/Satpol_PP_Bongkar_Puluhan_Bangunan_di_Gambir_
2014-12-01T00:00:00Z,1899-12-31T01:05:07Z,Puluhan PKL di Jl Rawasari Selatan Ditertibkan,https://beritajakarta.com/read/6619/Puluhan_PKL_di_Jl_Rawasari_Selatan_Ditertibkan
2014-12-01T00:00:00Z,1899-12-31T02:44:31Z,200 Bangunan Liar di Atas Saluran Air Dibongkar,https://beritajakarta.com/read/6620/200_Bangunan_Liar_di_Atas_Saluran_Air_Dibongkar
2014-12-01T00:00:00Z,1899-12-31T03:12:57Z,5 Lokasi Penampungan PKL di Jaksel Ditutup,https://beritajakarta.com/read/6618/5_Lokasi_Penampungan_PKL_di_Jaksel_Ditutup
2014-12-01T00:00:00Z,1899-12-31T03:40:40Z,Pedagang Makanan Keluhkan Kenaikan Harga Gas 3 Kg,https://beritajakarta.com/read/6623/Pedagang_Makanan_Keluhkan_Kenaikan_Harga_Gas_3_Kg
2014-12-01T00:00:00Z,1899-12-31T04:26:54Z,Lokasi Proyek Kali Pesanggrahan Sudah Dipagar,https://beritajakarta.com/read/6622/Lokasi_Proyek_Kali_Pesanggrahan_Sudah_Dipagar
2014-12-01T00:00:00Z,1899-12-31T05:15:28Z,Jaktim Siagakan 42 Pompa Air,https://beritajakarta.com/read/6630/Jaktim_Siagakan_42_Pompa_Air
2014-12-01T00:00:00Z,1899-12-31T05:30:11Z,Pengendara Motor Tertimpa Pohon Tumbang,https://beritajakarta.com/read/6627/Pengendara_Motor_Tertimpa_Pohon_Tumbang_
2014-12-01T00:00:00Z,1899-12-31T06:04:21Z,"Miliki Kelainan, Bayi Firdaus Butuh Perawatan","https://beritajakarta.com/read/6624/Miliki_Kelainan,_Bayi_Firdaus_Butuh_Perawatan"
2014-12-01T00:00:00Z,1899-12-31T07:11:00Z,Normalisasi Waduk Pluit Butuh Waktu 6 Bulan,https://beritajakarta.com/read/6632/Normalisasi_Waduk_Pluit_Butuh_Waktu_6_Bulan
2014-12-01T00:00:00Z,1899-12-31T07:43:30Z,Polisi Diminta Tindak Tegas Pelaku Tawuran,https://beritajakarta.com/read/6628/Polisi_Diminta_Tindak_Tegas_Pelaku_Tawuran
2014-12-01T00:00:00Z,1899-12-31T08:19:02Z,Ribuan Pohon di Jaktim Rawan Tumbang,https://beritajakarta.com/read/6631/Ribuan_Pohon_di_Jaktim_Rawan_Tumbang
2014-12-01T00:00:00Z,1899-12-31T09:34:35Z,Basuki Optimis Normalisasi Ciliwung Selesai 2016,https://beritajakarta.com/read/6629/Basuki_Optimis_Normalisasi_Ciliwung_Selesai_2016
2014-12-02T00:00:00Z,1899-12-31T07:41:43Z,"Pagi Ini, Jabodetabek Cerah Berawan","https://beritajakarta.com/read/6635/Pagi_Ini,_Jabodetabek_Cerah_Berawan"
2014-12-02T00:00:00Z,1899-12-31T10:11:49Z,"Hendak Menyalip, Wahyu Tewas Terlindas Truk Trailer","https://beritajakarta.com/read/6636/Hendak_Menyalip,_Wahyu_Tewas_Terlindas_Truk_Trailer"
2014-12-02T00:00:00Z,1899-12-31T10:54:44Z,Warga Ditolak RS Karena Tak Taat Aturan,https://beritajakarta.com/read/6637/Warga_Ditolak_RS_Karena_Tak_Taat_Aturan_
2014-12-02T00:00:00Z,1899-12-31T11:47:15Z,15 Ton Sampah Diangkat dari Jembatan Kalibata,https://beritajakarta.com/read/6638/15_Ton_Sampah_Diangkat_dari_Jembatan_Kalibata
2014-12-02T00:00:00Z,1899-12-31T01:18:03Z,"Tunggak Pajak Rp 4,4 M, Hotel Melati Disegel","https://beritajakarta.com/read/6641/Tunggak_Pajak_Rp_4,4_M,_Hotel_Melati_Disegel"
2014-12-02T00:00:00Z,1899-12-31T01:50:36Z,Jaktim Kekurangan 51 Ribu Lampu Penerangan Jalan,https://beritajakarta.com/read/6639/Jaktim_Kekurangan_51_Ribu_Lampu_Penerangan_Jalan
2014-12-02T00:00:00Z,1899-12-31T02:24:01Z,9 Taman Layak Anak Akan Dibangun di Jaktim,https://beritajakarta.com/read/6640/9_Taman_Layak_Anak_Akan_Dibangun_di_Jaktim
2014-12-02T00:00:00Z,1899-12-31T02:52:02Z,Nissan Evalia Seruduk Dua Motor,https://beritajakarta.com/read/6644/Nissan_Evalia_Seruduk_Dua_Motor
2014-12-02T00:00:00Z,1899-12-31T03:17:49Z,Mega Restui Djarot Jadi Cawagub DKI,https://beritajakarta.com/read/6646/Mega_Restui_Djarot_Jadi_Cawagub_DKI
2014-12-02T00:00:00Z,1899-12-31T03:41:53Z,Biaya Perawatan Bayi Firdaus Ditanggung Pemprov DKI,https://beritajakarta.com/read/6647/Biaya_Perawatan_Bayi_Firdaus_Ditanggung_Pemprov_DKI
2014-12-02T00:00:00Z,1899-12-31T04:11:00Z,"Antisipasi Banjir, DKI Siagakan 84 Posko Kesehatan","https://beritajakarta.com/read/6648/Antisipasi_Banjir,_DKI_Siagakan_84_Posko_Kesehatan"
2014-12-02T00:00:00Z,1899-12-31T04:29:00Z,DKI Siapkan Alternatif Transportasi Bagi Pemotor,https://beritajakarta.com/read/6650/DKI_Siapkan_Alternatif_Transportasi_Bagi_Pemotor
