tanggal_rilis,jam_rilis,judul_berita,link
2014-02-01T00:00:00Z,1899-12-31T02:12:22Z,Tanggul Kali dan Saluran di Jakut Ditinggikan,https://beritajakarta.com/read/524/Tanggul_Kali_dan_Saluran_di_Jakut_Ditinggikan
2014-02-01T00:00:00Z,1899-12-31T03:33:05Z,Korban Banjir Diminta Waspadai Leptospirosis,https://beritajakarta.com/read/510/Korban_Banjir_Diminta_Waspadai_Leptospirosis
2014-02-01T00:00:00Z,1899-12-31T04:35:54Z,2.298 Titik Jalan di Jakut Berlubang,https://beritajakarta.com/read/511/2.298_Titik_Jalan_di_Jakut_Berlubang
2014-02-01T00:00:00Z,1899-12-31T06:52:06Z,Vihara Amurva Bhumi Tak Gelar Pawai Cap Go Meh,https://beritajakarta.com/read/455/Vihara_Amurva_Bhumi_Tak_Gelar_Pawai_Cap_Go_Meh
2014-02-02T00:00:00Z,1899-12-31T02:24:20Z,"Pasca Banjir, 150 Ton Sampah Diangkut Per Hari","https://beritajakarta.com/read/512/Pasca_Banjir,_150_Ton_Sampah_Diangkut_Per_Hari"
2014-02-02T00:00:00Z,1899-12-31T04:19:04Z,DKI Akan Perkuat Tanggul di Pantai Utara Jakarta,https://beritajakarta.com/read/456/DKI_Akan_Perkuat_Tanggul_di_Pantai_Utara_Jakarta
2014-02-02T00:00:00Z,1899-12-31T05:43:43Z,"Akses Jalan Akan Ditutup, Warga Semanan Resah","https://beritajakarta.com/read/525/Akses_Jalan_Akan_Ditutup,_Warga_Semanan_Resah"
2014-02-02T00:00:00Z,1899-12-31T06:36:32Z,5 Rumah di Pasar Minggu Rusak Tergerus Air,https://beritajakarta.com/read/457/5_Rumah_di_Pasar_Minggu_Rusak_Tergerus_Air
2014-02-02T00:00:00Z,1899-12-31T08:07:36Z,Kampung Deret di Cilincing Segera Rampung,https://beritajakarta.com/read/473/Kampung_Deret_di_Cilincing_Segera_Rampung
2014-02-03T00:00:00Z,1899-12-31T12:05:08Z,132 TPS di Jakut Rawan Konflik,https://beritajakarta.com/read/526/132_TPS_di_Jakut_Rawan_Konflik
2014-02-03T00:00:00Z,1899-12-31T01:05:01Z,3 Ruko di Cengkareng Ludes Terbakar,https://beritajakarta.com/read/474/3_Ruko_di_Cengkareng_Ludes_Terbakar
2014-02-03T00:00:00Z,1899-12-31T01:36:10Z,Jokowi Akan Panggil Walikota Jakbar,https://beritajakarta.com/read/475/Jokowi_Akan_Panggil_Walikota_Jakbar
2014-02-03T00:00:00Z,1899-12-31T02:11:08Z,10 Kelurahan di DKI Masih Kebanjiran,https://beritajakarta.com/read/527/10_Kelurahan_di_DKI_Masih_Kebanjiran
2014-02-03T00:00:00Z,1899-12-31T03:16:12Z,Kampung Deret Petogogan Akan Jadi Percontohan,https://beritajakarta.com/read/476/Kampung_Deret_Petogogan_Akan_Jadi_Percontohan
2014-02-03T00:00:00Z,1899-12-31T03:36:47Z,"TMR Libur, Banyak Pengunjung Belum Tahu","https://beritajakarta.com/read/528/TMR_Libur,_Banyak_Pengunjung_Belum_Tahu"
