tanggal_rilis,jam_rilis,judul_berita,link
2014-01-01T00:00:00Z,1899-12-31T01:12:40Z,Jokowi Rayakan Tahun Baru Bersama Warga,https://beritajakarta.com/read/115/Jokowi_Rayakan_Tahun_Baru_Bersama_Warga
2014-01-01T00:00:00Z,1899-12-31T11:52:11Z,Ratusan Warga Punguti Sampah di Ancol,https://beritajakarta.com/read/116/Ratusan_Warga_Punguti_Sampah_di_Ancol
2014-01-01T00:00:00Z,1899-12-31T12:25:40Z,Perayaan JNF Sisakan 150 Ton Sampah,https://beritajakarta.com/read/127/Perayaan_JNF_Sisakan_150_Ton_Sampah
2014-01-01T00:00:00Z,1899-12-31T01:09:33Z,JKN Resmi Diberlakukan di Jakarta,https://beritajakarta.com/read/136/JKN_Resmi_Diberlakukan_di_Jakarta
2014-01-01T00:00:00Z,1899-12-31T03:12:14Z,PNS DKI Bakal Dilarang Bawa Kendaraan Pribadi ke Kantor,https://beritajakarta.com/read/137/PNS_DKI_Bakal_Dilarang_Bawa_Kendaraan_Pribadi_ke_Kantor
2014-01-01T00:00:00Z,1899-12-31T05:47:35Z,Karyawan Bus AKAP Lebak Bulus Minta Relokasi di Jaksel,https://beritajakarta.com/read/117/Karyawan_Bus_AKAP_Lebak_Bulus_Minta_Relokasi_di_Jaksel
2014-01-01T00:00:00Z,1899-12-31T06:09:11Z,Jokowi Beri Nilai 8 untuk Pelaksanaan JNF,https://beritajakarta.com/read/128/Jokowi_Beri_Nilai_8_untuk_Pelaksanaan_JNF
2014-01-02T00:00:00Z,1899-12-31T09:00:08Z,"Malam Tahun Baru, 772 Kendaraan Ditilang","https://beritajakarta.com/read/118/Malam_Tahun_Baru,_772_Kendaraan_Ditilang"
2014-01-02T00:00:00Z,1899-12-31T01:10:08Z,Blok G Tanah Abang Dilengkapi Pusat Jajanan,https://beritajakarta.com/read/138/Blok_G_Tanah_Abang_Dilengkapi_Pusat_Jajanan
2014-01-02T00:00:00Z,1899-12-31T01:30:30Z,Kantor di Atas Lahan Pertamina Terbakar,https://beritajakarta.com/read/139/Kantor_di_Atas_Lahan_Pertamina_Terbakar
2014-01-02T00:00:00Z,1899-12-31T02:14:17Z,"Asyik Nongkrong, Sejumlah PNS DKI Kena Sidak","https://beritajakarta.com/read/119/Asyik_Nongkrong,_Sejumlah_PNS_DKI_Kena_Sidak"
2014-01-02T00:00:00Z,1899-12-31T03:08:01Z,Jokowi Tagih Pemerintah Pusat Tambahan SPBG,https://beritajakarta.com/read/120/Jokowi_Tagih_Pemerintah_Pusat_Tambahan_SPBG
