tanggal_rilis,jam_rilis,judul_berita,link
2014-06-01T00:00:00Z,1899-12-31T10:45:43Z,Nissan Serena Terbakar di Tol Cawang,https://beritajakarta.com/read/2554/Nissan_Serena_Terbakar_di_Tol_Cawang
2014-06-01T00:00:00Z,1899-12-31T11:00:13Z,"Satu Bulan, 149 PMKS Terjaring di Jakpus","https://beritajakarta.com/read/2512/Satu_Bulan,_149_PMKS_Terjaring_di_Jakpus"
2014-06-01T00:00:00Z,1899-12-31T12:27:48Z,Kemendagri: Hari Ini Jokowi Resmi Cuti,https://beritajakarta.com/read/2556/Kemendagri:_Hari_Ini_Jokowi_Resmi_Cuti
2014-06-01T00:00:00Z,1899-12-31T01:16:44Z,Basuki Pimpin Pencanangan HUT Kota Jakarta,https://beritajakarta.com/read/2560/Basuki_Pimpin_Pencanangan_HUT_Kota_Jakarta
2014-06-01T00:00:00Z,1899-12-31T02:15:36Z,Basuki Bisa Pilih Sekda DKI,https://beritajakarta.com/read/2562/Basuki_Bisa_Pilih_Sekda_DKI
2014-06-01T00:00:00Z,1899-12-31T02:42:29Z,Mesin Pencacah Eceng Gondok Waduk Pluit Akan Ditambah,https://beritajakarta.com/read/2558/Mesin_Pencacah_Eceng_Gondok_Waduk_Pluit_Akan_Ditambah_
2014-06-01T00:00:00Z,1899-12-31T03:48:20Z,DKI Gelar Lomba Kebersihan Berhadiah Mobil dan Motor,https://beritajakarta.com/read/2564/DKI_Gelar_Lomba_Kebersihan_Berhadiah_Mobil_dan_Motor
2014-06-01T00:00:00Z,1899-12-31T04:01:05Z,"HUT DKI, Jakut Bagikan Akta Kelahiran Gratis","https://beritajakarta.com/read/2559/HUT_DKI,_Jakut_Bagikan_Akta_Kelahiran_Gratis_"
2014-06-01T00:00:00Z,1899-12-31T04:28:19Z,"Jelang Ramadhan, 33 PMKS Terjaring Razia","https://beritajakarta.com/read/2567/Jelang_Ramadhan,_33_PMKS_Terjaring_Razia"
2014-06-01T00:00:00Z,1899-12-31T05:38:00Z,Warga Antre Surat Keterangan Miskin untuk KJP,https://beritajakarta.com/read/2563/Warga_Antre_Surat_Keterangan_Miskin_untuk_KJP
2014-06-01T00:00:00Z,1899-12-31T06:44:16Z,Beragam Acara Meriahkan HUT Kota Jakarta di Jaksel,https://beritajakarta.com/read/2566/Beragam_Acara_Meriahkan_HUT_Kota_Jakarta_di_Jaksel
2014-06-01T00:00:00Z,1899-12-31T07:15:28Z,"Kota Tua, Miniatur Eropa di Asia Tenggara","https://beritajakarta.com/read/2557/Kota_Tua,_Miniatur_Eropa_di_Asia_Tenggara"
2014-06-01T00:00:00Z,1899-12-31T09:50:54Z,Komunitas Kretek Kampanyekan Penyediaan Ruang Merokok,https://beritajakarta.com/read/2569/Komunitas_Kretek_Kampanyekan_Penyediaan_Ruang_Merokok
2014-06-02T00:00:00Z,1899-12-31T09:43:15Z,3 Rumah Hangus Terbakar di Matraman,https://beritajakarta.com/read/2570/3_Rumah_Hangus_Terbakar_di_Matraman
2014-06-02T00:00:00Z,1899-12-31T10:19:43Z,PMKS Terjangkit HIV/AIDS Diamankan,https://beritajakarta.com/read/2571/PMKS_Terjangkit_HIV/AIDS_Diamankan
2014-06-02T00:00:00Z,1899-12-31T10:52:31Z,"Gas Elpiji Bocor, Pabrik Kerupuk Ludes Terbakar","https://beritajakarta.com/read/2572/Gas_Elpiji_Bocor,_Pabrik_Kerupuk_Ludes_Terbakar"
2014-06-02T00:00:00Z,1899-12-31T12:06:18Z,"Truk Kecelakaan, 13 Sapi Lepas di Tol JORR","https://beritajakarta.com/read/2575/Truk_Kecelakaan,_13_Sapi_Lepas_di_Tol_JORR_"
2014-06-02T00:00:00Z,1899-12-31T01:19:19Z,Penertiban Parkir Liar Terkendala Payung Hukum,https://beritajakarta.com/read/2573/Penertiban_Parkir_Liar_Terkendala_Payung_Hukum
2014-06-02T00:00:00Z,1899-12-31T02:47:15Z,Botol Berisi Bahan Peledak Ditemukan di Kali Buaran,https://beritajakarta.com/read/2581/Botol_Berisi_Bahan_Peledak_Ditemukan_di_Kali_Buaran
2014-06-02T00:00:00Z,1899-12-31T03:05:04Z,Koridor Transjakarta Amari Segera Ditambah,https://beritajakarta.com/read/2578/Koridor_Transjakarta_Amari_Segera_Ditambah
2014-06-02T00:00:00Z,1899-12-31T03:57:24Z,DKI Temukan 27 Ribu Pelanggaran KJP,https://beritajakarta.com/read/2588/DKI_Temukan_27_Ribu_Pelanggaran_KJP
2014-06-02T00:00:00Z,1899-12-31T04:04:59Z,Gaji Petugas Makam Kapuk Teko Belum Dibayar,https://beritajakarta.com/read/2580/Gaji_Petugas_Makam_Kapuk_Teko_Belum_Dibayar
2014-06-02T00:00:00Z,1899-12-31T04:33:42Z,"PKL Marak, Revitalisasi Kota Tua Sulit Terwujud","https://beritajakarta.com/read/2579/PKL_Marak,_Revitalisasi_Kota_Tua_Sulit_Terwujud_"
2014-06-02T00:00:00Z,1899-12-31T05:07:27Z,Disdik Minta Sekolah Data Ulang Penerima KJP,https://beritajakarta.com/read/2577/Disdik_Minta_Sekolah_Data_Ulang_Penerima_KJP
2014-06-02T00:00:00Z,1899-12-31T05:34:12Z,"Mei, Inflasi di Jakarta Capai 0,05 Persen","https://beritajakarta.com/read/2587/Mei,_Inflasi_di_Jakarta_Capai_0,05_Persen"
2014-06-02T00:00:00Z,1899-12-31T07:01:09Z,"Buang Sampah di Sekolah, Pengelola Hotel Ditegur","https://beritajakarta.com/read/2592/Buang_Sampah_di_Sekolah,_Pengelola_Hotel_Ditegur"
2014-06-02T00:00:00Z,1899-12-31T07:45:51Z,54 Titik Rawan Kejahatan yang Harus Diwaspadai,https://beritajakarta.com/read/2585/54_Titik_Rawan_Kejahatan_yang_Harus_Diwaspadai_
2014-06-02T00:00:00Z,1899-12-31T08:00:01Z,Disdik Ajukan Dana Tambahan KJP Rp 700 Miliar,https://beritajakarta.com/read/2591/Disdik_Ajukan_Dana_Tambahan_KJP_Rp_700_Miliar
2014-06-02T00:00:00Z,1899-12-31T08:22:12Z,DKI Bakal Terapkan Pembayaran Angkutan Per Kilometer,https://beritajakarta.com/read/2595/DKI_Bakal_Terapkan_Pembayaran_Angkutan_Per_Kilometer_
2014-06-02T00:00:00Z,1899-12-31T09:12:57Z,"Antisipasi Kecelakaan, Lubang di Jembatan Goro Ditanami Pohon","https://beritajakarta.com/read/2589/Antisipasi_Kecelakaan,_Lubang_di_Jembatan_Goro_Ditanami_Pohon_"
2014-06-03T00:00:00Z,1899-12-31T09:52:39Z,Jaksel Targetkan Dana ZIS Rp 22 Miliar,https://beritajakarta.com/read/2597/Jaksel_Targetkan_Dana_ZIS_Rp_22_Miliar
2014-06-03T00:00:00Z,1899-12-31T11:04:03Z,"Innova Ditabrak Kereta, Satu Tewas","https://beritajakarta.com/read/2598/Innova_Ditabrak_Kereta,_Satu_Tewas"
2014-06-03T00:00:00Z,1899-12-31T11:30:56Z,Pramudi Bus Sekolah Mengaku Belum Terima Honor,https://beritajakarta.com/read/2600/Pramudi_Bus_Sekolah_Mengaku_Belum_Terima_Honor
2014-06-03T00:00:00Z,1899-12-31T12:41:39Z,Taman Layak Anak di Jakpus Masih Tunggu Proses Lelang,https://beritajakarta.com/read/2599/Taman_Layak_Anak_di_Jakpus_Masih_Tunggu_Proses_Lelang
2014-06-03T00:00:00Z,1899-12-31T01:00:59Z,"Kunjungan Turis Asing Turun 8,64 Persen","https://beritajakarta.com/read/2601/Kunjungan_Turis_Asing_Turun_8,64_Persen"
2014-06-03T00:00:00Z,1899-12-31T01:09:59Z,"Urus KJP, Ribuan Warga Padati Kantor Kelurahan","https://beritajakarta.com/read/2602/Urus_KJP,_Ribuan_Warga_Padati_Kantor_Kelurahan"
2014-06-03T00:00:00Z,1899-12-31T02:02:16Z,"Tahun Ini, Basuki Pimpin Perayaan HUT DKI","https://beritajakarta.com/read/2603/Tahun_Ini,_Basuki_Pimpin_Perayaan_HUT_DKI"
2014-06-03T00:00:00Z,1899-12-31T04:25:15Z,ERP Diterapkan Tahun Depan,https://beritajakarta.com/read/2609/ERP_Diterapkan_Tahun_Depan
2014-06-03T00:00:00Z,1899-12-31T04:48:52Z,"Mulai 5 Juni, Truk 10 Ton Dilarang Masuk Tol Wiyoto Wiyono","https://beritajakarta.com/read/2604/Mulai_5_Juni,_Truk_10_Ton_Dilarang_Masuk_Tol_Wiyoto_Wiyono"
2014-06-03T00:00:00Z,1899-12-31T05:11:37Z,Guru Tersangka Pelecehan Seksual Dinonaktifkan,https://beritajakarta.com/read/2614/Guru_Tersangka_Pelecehan_Seksual_Dinonaktifkan__
2014-06-03T00:00:00Z,1899-12-31T05:26:10Z,Kelanjutan Monorel Segera Diputuskan,https://beritajakarta.com/read/2610/Kelanjutan_Monorel_Segera_Diputuskan
2014-06-03T00:00:00Z,1899-12-31T06:29:48Z,Polda Siap Dukung Penerapan ERP di DKI,https://beritajakarta.com/read/2616/Polda_Siap_Dukung_Penerapan_ERP_di_DKI
2014-06-03T00:00:00Z,1899-12-31T07:08:33Z,Basuki Tak Akan Batasi Jam Operasional Diskotek,https://beritajakarta.com/read/2605/Basuki_Tak_Akan_Batasi_Jam_Operasional_Diskotek
2014-06-03T00:00:00Z,1899-12-31T07:37:32Z,Bus Transjakarta Malam Hari Diminati,https://beritajakarta.com/read/2607/Bus_Transjakarta_Malam_Hari_Diminati_
2014-06-03T00:00:00Z,1899-12-31T08:11:50Z,Bus Tingkat Wisata Diusulkan Dikelola Secara Profesional,https://beritajakarta.com/read/2611/Bus_Tingkat_Wisata_Diusulkan_Dikelola_Secara_Profesional
2014-06-03T00:00:00Z,1899-12-31T08:27:09Z,"78 PKL Disidang, Denda Terkumpul Rp 2,3 Juta","https://beritajakarta.com/read/2615/78_PKL_Disidang,_Denda_Terkumpul_Rp_2,3_Juta"
2014-06-03T00:00:00Z,1899-12-31T08:43:19Z,DKI Kaji Penerapan ERP di Jalan Nasional,https://beritajakarta.com/read/2622/DKI_Kaji_Penerapan_ERP_di_Jalan_Nasional
2014-06-03T00:00:00Z,1899-12-31T08:59:48Z,Pemkot Jakut Akan Sewa Alat Pembersih Eceng Gondok,https://beritajakarta.com/read/2627/Pemkot_Jakut_Akan_Sewa_Alat_Pembersih_Eceng_Gondok
2014-06-03T00:00:00Z,1899-12-31T09:10:23Z,Pembangunan Taman Anak di Jakut Terkendala Lahan,https://beritajakarta.com/read/2606/Pembangunan_Taman_Anak_di_Jakut_Terkendala_Lahan
2014-06-03T00:00:00Z,1899-12-31T09:19:00Z,12 Mobil di Jaksel Tidak Lulus Uji Emisi,https://beritajakarta.com/read/2618/12_Mobil_di_Jaksel_Tidak_Lulus_Uji_Emisi
2014-06-03T00:00:00Z,1899-12-31T09:28:35Z,Warga Kampung Sawah Kesulitan Air Bersih,https://beritajakarta.com/read/2624/Warga_Kampung_Sawah_Kesulitan_Air_Bersih
2014-06-03T00:00:00Z,1899-12-31T09:37:28Z,Warga Diduga Serobot Lahan Pemprov DKI,https://beritajakarta.com/read/2612/Warga_Diduga_Serobot_Lahan_Pemprov_DKI
2014-06-03T00:00:00Z,1899-12-31T09:46:28Z,Guido dan Anindya Juara Abang None Jakbar,https://beritajakarta.com/read/2620/Guido_dan_Anindya_Juara_Abang_None_Jakbar
2014-06-04T00:00:00Z,1899-12-31T07:57:28Z,DKI Bangun Pengganti Terminal Lebak Bulus di Ampera,https://beritajakarta.com/read/2628/DKI_Bangun_Pengganti_Terminal_Lebak_Bulus_di_Ampera
2014-06-04T00:00:00Z,1899-12-31T11:20:43Z,SDN 04 dan 08 Kebon Sirih Digabung,https://beritajakarta.com/read/2630/SDN_04_dan_08_Kebon_Sirih_Digabung_
