tanggal_rilis,jam_rilis,judul_berita,link
2014-03-01T00:00:00Z,1899-12-31T12:06:59Z,Proyek Kampung Deret di Jakbar Hampir Rampung,https://beritajakarta.com/read/787/Proyek_Kampung_Deret_di_Jakbar_Hampir_Rampung
2014-03-01T00:00:00Z,1899-12-31T12:17:41Z,Golkar DKI Optimistis Raih 20 Persen Suara,https://beritajakarta.com/read/824/Golkar_DKI_Optimistis_Raih_20_Persen_Suara
2014-03-01T00:00:00Z,1899-12-31T01:48:12Z,Basuki: Kampung Deret Solusi Atasi Kebakaran,https://beritajakarta.com/read/806/Basuki:_Kampung_Deret_Solusi_Atasi_Kebakaran
2014-03-01T00:00:00Z,1899-12-31T02:22:03Z,"Tawuran di Bulungan, Pelajar Luka Bacok","https://beritajakarta.com/read/826/Tawuran_di_Bulungan,_Pelajar__Luka_Bacok"
2014-03-01T00:00:00Z,1899-12-31T03:07:34Z,Anak Korban Banjir di Jaksel Diberi Perlengkapan Sekolah,https://beritajakarta.com/read/825/Anak_Korban_Banjir_di_Jaksel_Diberi_Perlengkapan_Sekolah
2014-03-01T00:00:00Z,1899-12-31T04:33:58Z,Basuki: Tugas Saya untuk Warga DKI,https://beritajakarta.com/read/827/Basuki:_Tugas_Saya_untuk_Warga_DKI
2014-03-01T00:00:00Z,1899-12-31T05:15:14Z,KPU DKI Sudah Distribusikan Logistik Pemilu,https://beritajakarta.com/read/807/KPU_DKI_Sudah_Distribusikan_Logistik_Pemilu
2014-03-01T00:00:00Z,1899-12-31T06:06:30Z,10 Penghuni Tinggalkan Rusun Cakung Barat,https://beritajakarta.com/read/828/10_Penghuni_Tinggalkan_Rusun_Cakung_Barat
2014-03-02T00:00:00Z,1899-12-31T12:46:26Z,Kapal Cepat Dishub Kembali Beroperasi,https://beritajakarta.com/read/808/Kapal_Cepat_Dishub_Kembali_Beroperasi
2014-03-02T00:00:00Z,1899-12-31T01:21:21Z,"Balap Liar, 15 Motor dan 12 ABG Diamankan","https://beritajakarta.com/read/809/Balap_Liar,_15_Motor_dan_12_ABG_Diamankan_"
2014-03-02T00:00:00Z,1899-12-31T02:16:23Z,Korban Banjir di Cengkareng Dapat Layanan KTP Mobile,https://beritajakarta.com/read/856/Korban_Banjir_di_Cengkareng_Dapat_Layanan_KTP_Mobile
2014-03-02T00:00:00Z,1899-12-31T03:05:27Z,Ruang Bendahara Rutan Salemba Terbakar,https://beritajakarta.com/read/857/Ruang_Bendahara_Rutan_Salemba_Terbakar
2014-03-02T00:00:00Z,1899-12-31T04:18:19Z,Showroom Mobil di Kebon Jeruk Terbakar,https://beritajakarta.com/read/858/Showroom_Mobil_di_Kebon_Jeruk_Terbakar
2014-03-02T00:00:00Z,1899-12-31T05:01:42Z,Mahasiswa dan Dosen UI Gelar Aksi Bersih Kampus,https://beritajakarta.com/read/810/Mahasiswa_dan_Dosen_UI_Gelar_Aksi_Bersih_Kampus
2014-03-02T00:00:00Z,1899-12-31T06:40:51Z,Pengolahan Sampah Bantargebang Sesuai Kontrak,https://beritajakarta.com/read/811/Pengolahan_Sampah_Bantargebang_Sesuai_Kontrak_
2014-03-03T00:00:00Z,1899-12-31T10:16:12Z,Kampung Pulo Kembali Terendam Banjir,https://beritajakarta.com/read/859/Kampung_Pulo_Kembali_Terendam_Banjir
2014-03-03T00:00:00Z,1899-12-31T01:01:51Z,Jokowi Tak Perlu Ambil Cuti,https://beritajakarta.com/read/812/Jokowi_Tak_Perlu_Ambil_Cuti
2014-03-03T00:00:00Z,1899-12-31T02:16:25Z,"5 Tahun, Pelebaran Jalan Joglo Tak Kunjung Rampung","https://beritajakarta.com/read/869/5_Tahun,_Pelebaran_Jalan_Joglo_Tak_Kunjung_Rampung"
2014-03-03T00:00:00Z,1899-12-31T03:23:06Z,30 Lapak PKL di Tambora Ditertibkan,https://beritajakarta.com/read/815/30_Lapak_PKL_di_Tambora_Ditertibkan
2014-03-03T00:00:00Z,1899-12-31T04:05:16Z,"Terminal Manggarai Diuji Coba, Lalu Lintas Lebih Tertib","https://beritajakarta.com/read/813/Terminal_Manggarai_Diuji_Coba,_Lalu_Lintas_Lebih_Tertib"
2014-03-03T00:00:00Z,1899-12-31T04:35:26Z,Sejumlah Wilayah di Jaksel Masih Tergenang,https://beritajakarta.com/read/831/Sejumlah_Wilayah_di_Jaksel_Masih_Tergenang
2014-03-03T00:00:00Z,1899-12-31T05:11:04Z,"Masuk Jalur Busway, Sopir Metromini Jual Nama Jokowi","https://beritajakarta.com/read/843/Masuk_Jalur_Busway,_Sopir_Metromini_Jual_Nama_Jokowi"
2014-03-03T00:00:00Z,1899-12-31T06:12:12Z,Ini 10 Kelurahan Rawan Sosial di Jakarta,https://beritajakarta.com/read/860/Ini_10_Kelurahan_Rawan_Sosial_di_Jakarta
2014-03-03T00:00:00Z,1899-12-31T07:11:24Z,Basuki: Palyja Mengaku Rugi Melulu,https://beritajakarta.com/read/870/Basuki:_Palyja_Mengaku_Rugi_Melulu
2014-03-03T00:00:00Z,1899-12-31T07:37:36Z,71 Rumah Sakit di Jakarta Tolak BPJS,https://beritajakarta.com/read/814/71_Rumah_Sakit_di_Jakarta_Tolak_BPJS
2014-03-03T00:00:00Z,1899-12-31T08:06:09Z,Warga Keluhkan Kali Cakung Lama Makin Dangkal,https://beritajakarta.com/read/830/Warga_Keluhkan_Kali_Cakung_Lama_Makin_Dangkal
