tanggal_rilis,jam_rilis,judul_berita,link
01 May 2014,1899-12-31T10:24:50Z,"Libur May Day, Aturan 3 in 1 Tak Diberlakukan","https://beritajakarta.com/read/1847/Libur_May_Day,_Aturan_3_in_1_Tak_Diberlakukan"
01 May 2014,1899-12-31T10:46:32Z,"May Day, Polda Metro Siapkan 4 Kantong Parkir","https://beritajakarta.com/read/1846/May_Day,_Polda_Metro_Siapkan_4_Kantong_Parkir"
01 May 2014,1899-12-31T11:26:05Z,Pintu Masuk Pelabuhan Diblokir Massa Buruh,https://beritajakarta.com/read/1848/Pintu_Masuk_Pelabuhan_Diblokir_Massa_Buruh
01 May 2014,1899-12-31T12:16:37Z,Disdik Targetkan Nilai UN SMP Tertinggi di Indonesia,https://beritajakarta.com/read/1849/Disdik_Targetkan_Nilai_UN_SMP_Tertinggi_di_Indonesia
01 May 2014,1899-12-31T12:50:03Z,Jokowi Janjikan PRT Dapat Upah Layak,https://beritajakarta.com/read/1850/Jokowi_Janjikan_PRT_Dapat_Upah_Layak_
01 May 2014,1899-12-31T01:12:47Z,Penghuni Rusun Kebersihan Tersiksa Bau Sampah,https://beritajakarta.com/read/1837/Penghuni_Rusun_Kebersihan_Tersiksa_Bau_Sampah
01 May 2014,1899-12-31T02:03:28Z,Zombie dan Reog Warnai May Day di Istana Negara,https://beritajakarta.com/read/1852/Zombie_dan_Reog_Warnai_May_Day_di_Istana_Negara
01 May 2014,1899-12-31T02:13:05Z,Ribuan Massa Buruh Padati Bundaran HI,https://beritajakarta.com/read/1856/Ribuan_Massa_Buruh_Padati_Bundaran_HI
01 May 2014,1899-12-31T02:26:01Z,"May Day, Ribuan Guru Honorer Demo di Depan Istana","https://beritajakarta.com/read/1855/May_Day,_Ribuan_Guru_Honorer_Demo_di_Depan_Istana"
01 May 2014,1899-12-31T02:34:39Z,"Demo Buruh, Layanan Transjakarta Koridor 1 Terhenti","https://beritajakarta.com/read/1858/Demo_Buruh,_Layanan_Transjakarta_Koridor_1_Terhenti"
01 May 2014,1899-12-31T03:06:52Z,Ratusan Sopir Taksi Blokir Pintu Masuk Ancol,https://beritajakarta.com/read/1862/Ratusan_Sopir_Taksi_Blokir_Pintu_Masuk_Ancol
01 May 2014,1899-12-31T03:15:12Z,Pocong Ramaikan Aksi May Day,https://beritajakarta.com/read/1861/Pocong_Ramaikan_Aksi_May_Day
01 May 2014,1899-12-31T04:12:58Z,"Tiru Spiderman, Bocah Tewas Lompat dari Apartemen","https://beritajakarta.com/read/1864/Tiru_Spiderman,_Bocah_Tewas_Lompat_dari_Apartemen"
01 May 2014,1899-12-31T04:19:45Z,Jokowi Jenguk Buruh yang Sakit di Cilincing,https://beritajakarta.com/read/1866/Jokowi_Jenguk_Buruh_yang_Sakit_di_Cilincing
01 May 2014,1899-12-31T05:12:38Z,"Rayakan May Day, Buruh Tanam Pohon di Marunda","https://beritajakarta.com/read/1851/Rayakan_May_Day,_Buruh_Tanam_Pohon_di_Marunda"
01 May 2014,1899-12-31T05:50:14Z,"Cegah Buruh, Satpol PP Dikerahkan ke Rumah Jokowi","https://beritajakarta.com/read/1870/Cegah_Buruh,_Satpol_PP_Dikerahkan_ke_Rumah_Jokowi"
01 May 2014,1899-12-31T06:04:48Z,"May Day, Operasional Bus Transjakarta Terganggu","https://beritajakarta.com/read/1859/May_Day,_Operasional_Bus_Transjakarta_Terganggu"
01 May 2014,1899-12-31T06:51:36Z,"Awas, Lubang Besar di Jalan Kembangan","https://beritajakarta.com/read/1853/Awas,_Lubang_Besar_di_Jalan_Kembangan"
01 May 2014,1899-12-31T07:05:26Z,Jaktim Akan Dijadikan Destinasi Batu Mulia,https://beritajakarta.com/read/1869/Jaktim_Akan_Dijadikan_Destinasi_Batu_Mulia
