tanggal_rilis,jam_rilis,judul_berita,link
01 November 2014,1899-12-31T12:13:50Z,Penetapan UMP DKI Dipastikan Molor,https://beritajakarta.com/read/5978/Penetapan_UMP_DKI_Dipastikan_Molor
01 November 2014,1899-12-31T12:50:33Z,"Hindari Bus, Truk Terguling di Jalan Tol","https://beritajakarta.com/read/5979/Hindari_Bus,_Truk_Terguling_di_Jalan_Tol"
01 November 2014,1899-12-31T01:18:38Z,Bangunan di Kolong Jalan Layang KA Ditertibkan,https://beritajakarta.com/read/5980/Bangunan_di_Kolong_Jalan_Layang_KA_Ditertibkan
01 November 2014,1899-12-31T02:20:51Z,"Banyak yang Kegemukan, Ahok Minta PNS Rutin Olahraga","https://beritajakarta.com/read/5985/Banyak_yang_Kegemukan,_Ahok_Minta_PNS_Rutin_Olahraga"
01 November 2014,1899-12-31T03:11:12Z,Tiket KA Liburan Natal dan Tahun Baru Hampir Habis,https://beritajakarta.com/read/5984/Tiket_KA_Liburan_Natal_dan_Tahun_Baru_Hampir_Habis
01 November 2014,1899-12-31T04:11:44Z,Ahok Dukung Polisi Selesaikan Kasus Jembatan Ambruk,https://beritajakarta.com/read/5987/Ahok_Dukung_Polisi_Selesaikan_Kasus_Jembatan_Ambruk
01 November 2014,1899-12-31T04:30:32Z,Sisi Barat Waduk Pluit Dibongkar Pekan Depan,https://beritajakarta.com/read/5983/Sisi_Barat_Waduk_Pluit_Dibongkar_Pekan_Depan
01 November 2014,1899-12-31T05:05:00Z,"Kurangi Genangan, Jalan Bintaro Raya Dibeton","https://beritajakarta.com/read/5982/Kurangi_Genangan,_Jalan_Bintaro_Raya_Dibeton"
01 November 2014,1899-12-31T06:15:30Z,Saluran Penghubung Kali Sunter Mulai Dikeruk,https://beritajakarta.com/read/5988/Saluran_Penghubung_Kali_Sunter_Mulai_Dikeruk
02 November 2014,1899-12-31T03:57:55Z,"Besok, Polisi Periksa Kontraktor Jembatan di TIM","https://beritajakarta.com/read/5994/Besok,_Polisi_Periksa_Kontraktor_Jembatan_di_TIM"
02 November 2014,1899-12-31T05:01:58Z,Pemprov DKI Diminta Libatkan Masyarakat Antisipasi Banjir,https://beritajakarta.com/read/5996/Pemprov_DKI_Diminta_Libatkan_Masyarakat_Antisipasi_Banjir
02 November 2014,1899-12-31T05:33:43Z,Warga Minta Kali Apuran Segera Dinormalisasi,https://beritajakarta.com/read/5992/Warga_Minta_Kali_Apuran_Segera_Dinormalisasi
02 November 2014,1899-12-31T05:41:19Z,Lahan Pertanian di Jaktim Semakin Minim,https://beritajakarta.com/read/5989/Lahan_Pertanian_di_Jaktim_Semakin_Minim
02 November 2014,1899-12-31T07:40:28Z,LMK Diminta Dukung Pemberdayaan Masyarakat,https://beritajakarta.com/read/5993/LMK_Diminta_Dukung_Pemberdayaan_Masyarakat
02 November 2014,1899-12-31T08:00:06Z,Normalisasi Kali Ciliwung Rampung Pertengahan November,https://beritajakarta.com/read/5991/Normalisasi_Kali_Ciliwung_Rampung_Pertengahan_November
