tanggal_rilis,jam_rilis,judul_berita,link
2014-10-01T00:00:00Z,1899-12-31T09:27:56Z,Kerugian Kebakaran di Jakbar Capai Rp 24 Miliar,https://beritajakarta.com/read/5286/Kerugian_Kebakaran_di_Jakbar_Capai_Rp_24_Miliar
2014-10-01T00:00:00Z,1899-12-31T11:10:10Z,Anak Putus Sekolah Ikuti Kursus Mengemudi,https://beritajakarta.com/read/5291/Anak_Putus_Sekolah_Ikuti_Kursus_Mengemudi
2014-10-01T00:00:00Z,1899-12-31T12:28:34Z,40 Bangunan Liar di Kalibaru Segera Ditertibkan,https://beritajakarta.com/read/5293/40_Bangunan_Liar_di_Kalibaru_Segera_Ditertibkan
2014-10-01T00:00:00Z,1899-12-31T12:47:48Z,"Jokowi Mundur, Ahok Jadi Plt Gubernur","https://beritajakarta.com/read/5292/Jokowi_Mundur,_Ahok_Jadi_Plt_Gubernur"
2014-10-01T00:00:00Z,1899-12-31T01:08:24Z,DKI Akan Buat 3.620 Sumur Resapan,https://beritajakarta.com/read/5294/DKI_Akan_Buat_3.620_Sumur_Resapan
2014-10-01T00:00:00Z,1899-12-31T02:05:24Z,DKI Kerjasama dengan Kemenhub dan PT KAI,https://beritajakarta.com/read/5295/DKI_Kerjasama_dengan_Kemenhub_dan_PT_KAI
2014-10-01T00:00:00Z,1899-12-31T02:45:23Z,2 Orang Terluka Tertimpa Tiang Penyangga Crane,https://beritajakarta.com/read/5298/2_Orang_Terluka_Tertimpa_Tiang_Penyangga_Crane
2014-10-01T00:00:00Z,1899-12-31T03:13:30Z,Distamkam DKI Akan Manfaatkan Proyek MRT,https://beritajakarta.com/read/5299/Distamkam_DKI_Akan_Manfaatkan_Proyek_MRT
2014-10-01T00:00:00Z,1899-12-31T03:30:17Z,"Tewaskan 6 Ribu Orang, Ahok Minta Lintasan KA Ditutup","https://beritajakarta.com/read/5300/Tewaskan_6_Ribu_Orang,_Ahok_Minta_Lintasan_KA_Ditutup"
2014-10-01T00:00:00Z,1899-12-31T04:10:16Z,"Pasokan BBM Terhenti, Kapal Dishub Stop Operasi","https://beritajakarta.com/read/5301/Pasokan_BBM_Terhenti,_Kapal_Dishub_Stop_Operasi"
2014-10-01T00:00:00Z,1899-12-31T04:50:46Z,Pemakaman di DKI Akan Gunakan Sistem Online,https://beritajakarta.com/read/5304/Pemakaman_di_DKI_Akan_Gunakan_Sistem_Online
2014-10-01T00:00:00Z,1899-12-31T05:09:25Z,Lampu Jalan Banyak yang Padam,https://beritajakarta.com/read/5296/Lampu_Jalan_Banyak_yang_Padam
2014-10-01T00:00:00Z,1899-12-31T05:40:36Z,Polres Jakbar Ciduk 122 Preman,https://beritajakarta.com/read/5309/Polres_Jakbar_Ciduk_122_Preman
