tanggal_rilis,jam_rilis,judul_berita,link
2014-09-01T00:00:00Z,1899-12-31T10:11:13Z,453 Calon Haji Kloter 1 Jakarta Diberangkatkan,https://beritajakarta.com/read/4649/453_Calon_Haji_Kloter_1_Jakarta_Diberangkatkan
2014-09-01T00:00:00Z,1899-12-31T10:49:56Z,DKI Kembali Dapat Sumbangan Truk Sampah,https://beritajakarta.com/read/4653/DKI_Kembali_Dapat_Sumbangan_Truk_Sampah
2014-09-01T00:00:00Z,1899-12-31T11:27:10Z,100 Lansia Dapat Pelatihan,https://beritajakarta.com/read/4652/100_Lansia_Dapat_Pelatihan
2014-09-01T00:00:00Z,1899-12-31T12:48:55Z,Lokbin Susukan Butuh Perbaikan,https://beritajakarta.com/read/4654/Lokbin_Susukan_Butuh_Perbaikan
2014-09-01T00:00:00Z,1899-12-31T01:22:57Z,Bang Yos Yakin Ahok Mampu Pimpin DKI,https://beritajakarta.com/read/4657/Bang_Yos_Yakin_Ahok_Mampu_Pimpin_DKI
2014-09-01T00:00:00Z,1899-12-31T01:37:15Z,"Tinjau Proyek MRT, Jokowi Ditemani Mantan PM Jepang","https://beritajakarta.com/read/4655/Tinjau_Proyek_MRT,_Jokowi_Ditemani_Mantan_PM_Jepang"
2014-09-01T00:00:00Z,1899-12-31T02:39:16Z,Turap Saluran Jl Abdul Muis Dibeton,https://beritajakarta.com/read/4650/Turap_Saluran_Jl_Abdul_Muis_Dibeton
2014-09-01T00:00:00Z,1899-12-31T03:26:26Z,75 Lapak PKL di Papanggo Dibongkar,https://beritajakarta.com/read/4662/75_Lapak_PKL_di_Papanggo_Dibongkar
2014-09-01T00:00:00Z,1899-12-31T03:41:33Z,930 KK Warga Kampung Pulo Akan Direlokasi,https://beritajakarta.com/read/4661/930_KK_Warga_Kampung_Pulo_Akan_Direlokasi_
2014-09-01T00:00:00Z,1899-12-31T04:05:48Z,Ahok Berguru ke Bang Yos dan Foke,https://beritajakarta.com/read/4664/Ahok_Berguru_ke_Bang_Yos_dan_Foke
2014-09-01T00:00:00Z,1899-12-31T04:40:06Z,Museum Taman Prasasti Pasang 27 CCTV,https://beritajakarta.com/read/4666/Museum_Taman_Prasasti_Pasang_27_CCTV
2014-09-01T00:00:00Z,1899-12-31T05:13:53Z,"Antisipasi Rabies, 1.000 Anjing Divaksinasi","https://beritajakarta.com/read/4667/Antisipasi_Rabies,_1.000_Anjing_Divaksinasi"
2014-09-01T00:00:00Z,1899-12-31T05:59:58Z,Kendaraan Parkir Liar Disanksi Ganda,https://beritajakarta.com/read/4668/Kendaraan_Parkir_Liar_Disanksi_Ganda
